# Channel	Counts	Error	Energy (keV)
335	112	10.5830	1036.289
336	105	10.2470	1039.382
337	82	9.0554	1042.476
338	93	9.7468	1045.569
339	88	9.3808	1048.663
340	83	9.1104	1051.756
341	72	8.4853	1054.849
342	88	9.4868	1057.943
343	112	10.5830	1061.036
344	85	9.2195	1064.130
345	94	9.6954	1067.223
346	85	9.2195	1070.316
347	93	9.8489	1073.410
348	68	8.3666	1076.503
349	94	9.6954	1079.597
350	73	8.6603	1082.690
351	82	9.0554	1085.783
352	81	9.0000	1088.877
353	78	8.8318	1091.970
354	91	9.5394	1095.064
355	82	9.0554	1098.157
356	67	8.3066	1101.250
357	78	8.9443	1104.344
358	82	9.1652	1107.437
359	73	8.6603	1110.531
360	70	8.3666	1113.624
361	65	8.0623	1116.717
362	79	8.8882	1119.811
363	86	9.2736	1122.904
364	61	7.9373	1125.998
365	81	9.0000	1129.091
366	70	8.4853	1132.184
367	92	9.5917	1135.278
368	63	7.9373	1138.371
369	77	8.8882	1141.465
370	62	8.0000	1144.558
371	72	8.4853	1147.651
372	66	8.1240	1150.745
373	57	7.6811	1153.838
374	56	7.4833	1156.932
375	58	7.6158	1160.025
376	52	7.2111	1163.118
377	70	8.4853	1166.212
378	46	6.7823	1169.305
379	66	8.1240	1172.399
380	37	6.0828	1175.492
381	53	7.4162	1178.585
382	58	7.6158	1181.679
383	53	7.2801	1184.772
384	59	7.8102	1187.866
385	61	7.9373	1190.959
386	51	7.1414	1194.052
387	50	7.0711	1197.146
388	46	6.7823	1200.239
389	38	6.1644	1203.333
390	34	5.8310	1206.426
391	37	6.0828	1209.519
392	50	7.0711	1212.613
393	48	6.9282	1215.706
394	37	6.0828	1218.800
395	37	6.2450	1221.893
396	41	6.4031	1224.986
397	43	6.5574	1228.080
398	43	6.5574	1231.173
399	51	7.1414	1234.267
400	41	6.4031	1237.360
401	29	5.3852	1240.453
402	23	4.7958	1243.547
403	29	5.5678	1246.640
404	25	5.0000	1249.734
405	29	5.3852	1252.827
406	28	5.2915	1255.920
407	24	4.8990	1259.014
408	32	5.6569	1262.107
409	50	7.0711	1265.201
410	33	5.7446	1268.294
411	36	6.0000	1271.387
412	33	5.7446	1274.481
413	30	5.4772	1277.574
414	28	5.2915	1280.668
415	23	4.7958	1283.761
416	14	3.7417	1286.854
417	25	5.0000	1289.948
418	19	4.3589	1293.041
419	29	5.3852	1296.135
420	19	4.3589	1299.228
421	28	5.2915	1302.321
422	24	4.8990	1305.415
423	24	4.8990	1308.508
424	17	4.1231	1311.602
425	24	4.8990	1314.695
426	20	4.4721	1317.788
427	18	4.2426	1320.882
428	15	3.8730	1323.975
429	22	4.6904	1327.069
430	19	4.3589	1330.162
431	22	4.6904	1333.255
432	17	4.1231	1336.349
433	17	4.1231	1339.442
434	17	4.1231	1342.536
435	10	3.1623	1345.629
436	10	3.1623	1348.722
437	16	4.0000	1351.816
438	16	4.0000	1354.909
439	15	3.8730	1358.003
440	12	3.4641	1361.096
441	6	2.4495	1364.189
442	13	3.6056	1367.283
443	13	3.6056	1370.376
444	13	3.6056	1373.470
445	13	3.6056	1376.563
446	11	3.3166	1379.656
447	5	2.2361	1382.750
448	9	3.0000	1385.843
449	8	2.8284	1388.937
450	7	2.6458	1392.030
451	12	3.4641	1395.123
452	5	2.2361	1398.217
453	9	3.3166	1401.310
454	10	3.1623	1404.404
455	8	2.8284	1407.497
456	7	2.6458	1410.590
457	7	2.6458	1413.684
458	5	2.2361	1416.777
459	5	2.6458	1419.871
460	7	2.6458	1422.964
