# Channel	Counts	Error	Energy (keV)
474	5	2.2361	1466.27
475	5	2.2361	1469.37
476	4	2.0000	1472.46
477	8	2.8284	1475.55
478	6	2.8284	1478.65
479	2	1.4142	1481.74
480	6	2.4495	1484.83
481	8	2.8284	1487.93
482	2	1.4142	1491.02
483	5	2.2361	1494.11
484	2	1.4142	1497.21
485	5	2.2361	1500.30
486	5	2.2361	1503.39
487	0	0.0000	1506.49
488	1	1.0000	1509.58
489	4	2.0000	1512.67
490	2	1.4142	1515.77
491	5	2.2361	1518.86
492	1	1.0000	1521.95
493	2	1.4142	1525.05
494	2	1.4142	1528.14
495	3	1.7321	1531.23
496	1	1.0000	1534.33
497	5	2.2361	1537.42
498	3	1.7321	1540.51
499	0	0.0000	1543.61
500	4	2.0000	1546.70
501	0	0.0000	1549.79
502	0	1.0000	1552.89
503	1	1.0000	1555.98
504	1	1.0000	1559.07
505	1	1.0000	1562.17
506	1	1.0000	1565.26
507	0	0.0000	1568.35
508	1	1.0000	1571.45
509	1	1.0000	1574.54
510	1	1.0000	1577.63
511	2	2.4495	1580.73
