ChannelNumber	N(E)	W	P	G(Z,W)	Value	Energy(MeV)
120.0	897.0	1.7045009784735812	1.3803345919078445	22.09800710734387	3.7378546738242266	0.36
121.0	818.0	1.710371819960861	1.3875776599946499	22.065469523372748	3.5598322467394583	0.363
122.0	804.0	1.716242661448141	1.3948078265390533	22.033132860307646	3.519745031167743	0.366
123.0	839.0	1.7221135029354206	1.4020252911386817	22.000996940187783	3.5858987933369866	0.369
124.0	787.0	1.7279843444227005	1.4092302489550634	21.969060546745656	3.4637123639200924	0.372
125.0	789.0	1.7338551859099804	1.4164228908440208	21.937320608109435	3.4588672052239082	0.375
126.0	766.0	1.7397260273972601	1.4236034034812688	21.90577390736341	3.3990239407384766	0.378
127.0	762.0	1.7455968688845402	1.4307719694834362	21.874417277949625	3.381156595175501	0.381
128.0	742.0	1.75146771037182	1.4379287675247008	21.84324760221553	3.327677368618911	0.384
129.0	703.0	1.7573385518590998	1.4450739724492438	21.812261810013947	3.230515841705353	0.387
130.0	743.0	1.7632093933463797	1.4522077553796868	21.781456877353122	3.3124326267740627	0.39
131.0	651.0	1.7690802348336594	1.4593302838216973	21.750829825094698	3.0924668200926795	0.393
132.0	688.0	1.7749510763209393	1.4664417217649193	21.72037771769748	3.170838666424235	0.396
133.0	703.0	1.7808219178082192	1.4735422297803833	21.69009766200525	3.1968806032056802	0.399
134.0	666.0	1.7866927592954989	1.4806319651145463	21.659986806076557	3.103545689411271	0.402
135.0	625.0	1.792563600782779	1.4877110817801023	21.630042338054892	2.998725759870889	0.405
136.0	685.0	1.7984344422700587	1.494779730643688	21.600261485077528	3.131274708554378	0.408
137.0	720.0	1.8043052837573386	1.5018380595106284	21.57064151222141	3.2020248400111417	0.411
138.0	624.0	1.8101761252446185	1.508886213206821	21.541179721484628	2.973286234329411	0.414
139.0	633.0	1.8160469667318981	1.5159243336578934	21.511873450801964	2.987003020288368	0.417
140.0	617.0	1.821917808219178	1.522952559965731	21.482720073093287	2.9415021247417266	0.42
141.0	552.0	1.827788649706458	1.5299710284824861	21.45371699534327	2.775187234140122	0.423
142.0	623.0	1.8336594911937376	1.536979872882165	21.424861657711386	2.940805618324664	0.426
143.0	590.0	1.8395303326810177	1.5439792242298909	21.396151532670867	2.8546391645504987	0.429
144.0	555.0	1.8454011741682974	1.5509692110489268	21.36758412417558	2.7617094609570247	0.432
145.0	520.0	1.8512720156555773	1.5579499593855586	21.339156966853604	2.666507481545926	0.435
146.0	530.0	1.8571428571428572	1.5649215928719031	21.310867625226653	2.685295331425166	0.438
147.0	541.0	1.8630136986301369	1.571884232786735	21.28271369295425	2.7062572860813696	0.441
148.0	502.0	1.8688845401174168	1.5788379981144007	21.25469279210165	2.6004108595225452	0.444
149.0	526.0	1.8747553816046967	1.5857830056018924	21.22680257243078	2.6552533951657034	0.447
150.0	502.0	1.8806262230919764	1.5927193698141529	21.199040710713202	2.58756499081571	0.45
151.0	481.0	1.8864970645792565	1.5996472031876752	21.17140491006428	2.526629516250566	0.453
152.0	499.0	1.8923679060665362	1.60656661608246	21.14389306750153	2.5671557722498117	0.456
153.0	488.0	1.898238747553816	1.6134777168323957	21.116503886619107	2.532491920730367	0.459
154.0	448.0	1.904109589041096	1.620380611794109	21.089236316200164	2.420564391634781	0.462
155.0	458.0	1.9099804305283756	1.6272754053943541	21.062089320708104	2.4414795804297014	0.465
