ChannelNumber	N(E)	W	P	G(Z,W)	Value	Energy(MeV)
88.0	1119.0	1.5327181996086106	1.1615614832678727	23.140841185862147	4.536941276820277	0.272219
89.0	1164.0	1.5387729941291584	1.1695393655030235	23.10097955889818	4.613034860089151	0.275313
90.0	1118.0	1.544825831702544	1.177491762304712	23.061378789596933	4.507116089279306	0.278406
91.0	1142.0	1.5508786692759295	1.1854217168649637	23.022020636170655	4.541334687870107	0.281499
92.0	1093.0	1.5569334637964776	1.1933322298041302	22.98288730305141	4.429326900836763	0.28459300000000004
93.0	1016.0	1.5629863013698628	1.201218622179095	22.943999029360644	4.257524192784697	0.287686
94.0	1063.0	1.5690410958904109	1.2090864156845784	22.905326685272012	4.341742557295701	0.29078
95.0	1156.0	1.5750939334637963	1.216930934455384	22.86689379623362	4.514076043619983	0.293873
96.0	1194.0	1.581146771037182	1.2247551231006575	22.82868678900538	4.573929992500409	0.296966
97.0	1118.0	1.5872015655577298	1.2325618887945986	22.790692435389847	4.412757466463822	0.30006
98.0	1081.0	1.5932544031311155	1.2403465616901945	22.75293436163489	4.326224103247092	0.303153
99.0	1014.0	1.5993091976516634	1.2481145418963786	22.71538726747878	4.177596300927082	0.306247
100.0	1061.0	1.6053620352250488	1.2558611643577131	22.678074586425023	4.260706453999016	0.30933999999999995
101.0	1065.0	1.6114148727984343	1.2635892893958838	22.640983355416974	4.256178106975078	0.312433
102.0	1070.0	1.6174696673189823	1.2713017441571373	22.604100941809723	4.2536536484859395	0.315527
103.0	1038.0	1.6235225048923678	1.2789938717179175	22.567450481471077	4.177333170595768	0.31862
104.0	1047.0	1.6295772994129158	1.2866709660056421	22.531007610722565	4.1831945936900805	0.321714
105.0	970.0	1.6356301369863013	1.2943283760382551	22.49479526181721	4.014761407637851	0.324807
106.0	939.0	1.6416829745596868	1.3019688893975698	22.458801034255494	3.9386756491450776	0.32789999999999997
107.0	1015.0	1.6477377690802348	1.309595264061958	22.423012846559473	4.083174510834735	0.330994
108.0	957.0	1.6537906066536203	1.3172028585816802	22.387453318544768	3.95342133265749	0.33408699999999997
109.0	938.0	1.6598454011741683	1.3247968734108018	22.35209897681658	3.902784969339605	0.337181
110.0	992.0	1.6658982387475538	1.332372673789958	22.316972228563685	4.002116536139066	0.340274
111.0	950.0	1.6719510763209393	1.339932983999852	22.28206119812164	3.9053553448646205	0.34336700000000003
112.0	955.0	1.6780058708414873	1.3474805017433455	22.247354320037715	3.904532337509061	0.346461
113.0	969.0	1.6840587084148728	1.3550106026847057	22.212873676620394	3.9219521221087774	0.349554
114.0	910.0	1.6901135029354208	1.362528404402873	22.178596648397633	3.789987637189454	0.352648
115.0	907.0	1.6961663405088063	1.3700292897142878	22.14454509736869	3.773130456762608	0.355741
116.0	905.0	1.7022191780821918	1.3775159273964177	22.110707642701826	3.7584388557891297	0.358834
117.0	875.0	1.7082739726027398	1.3849909622347527	22.077073207047718	3.6853246636580286	0.36192799999999997
118.0	834.0	1.7143268101761253	1.392449787995477	22.04366331677341	3.5879594292811747	0.36502100000000004
119.0	843.0	1.7203816046966733	1.399897448307804	22.01045617786241	3.5972819232043314	0.368115
120.0	897.0	1.7264344422700586	1.4073293443456398	21.977472535768598	3.7004731461772877	0.37120800000000004
121.0	818.0	1.7324872798434443	1.4147480958882175	21.944698629629492	3.5240477689333582	0.374301
122.0	804.0	1.738542074363992	1.4221563009507263	21.912120423483984	3.4841802599672675	0.377395
123.0	839.0	1.7445949119373778	1.4295493719203218	21.87975549320984	3.549483377343993	0.380488
124.0	787.0	1.7506497064579256	1.436932286059862	21.847579482002125	3.4283602171564946	0.383582
125.0	789.0	1.7567025440313113	1.444300463271435	21.815609815328482	3.4233916943429437	0.386675
126.0	766.0	1.7627553816046966	1.4516564798106746	21.783832741442094	3.363993815425057	0.38976799999999995
127.0	762.0	1.7688101761252448	1.4590028921027607	21.752234808560463	3.346141607633138	0.39286200000000004
128.0	742.0	1.77486301369863	1.4663351313377797	21.720833221096903	3.293054155450018	0.395955
129.0	703.0	1.780917808219178	1.4736581149073216	21.689604499835667	3.196744814738189	0.399049
130.0	743.0	1.7869706457925636	1.480967281517148	21.658565705108433	3.2776467231937705	0.402142
131.0	651.0	1.7930234833659493	1.4882651685441552	21.627703634016466	3.0598441859637595	0.405235
132.0	688.0	1.799078277886497	1.4955542952240295	21.597005356260933	3.137237454056458	0.408329
133.0	703.0	1.8051311154598826	1.5028301114901312	21.566487721387464	3.1628543932013278	0.411422
134.0	666.0	1.8111859099804306	1.5100974804666223	21.536128042176465	3.0703668703057234	0.414516
135.0	625.0	1.8172387475538159	1.5173518595273021	21.50594303137923	2.966530205966382	0.417609
136.0	685.0	1.8232915851272016	1.5245957511404993	21.475919977617757	3.0975139404370093	0.420702
137.0	720.0	1.8293463796477494	1.5318316411180204	21.44604641729251	3.167354562009427	0.423796
138.0	624.0	1.835399217221135	1.5390549979048687	21.416338863849422	2.9409601355701747	0.426889
139.0	633.0	1.8414540117416829	1.5462706352251334	21.38677534563826	2.954393396730614	0.429983
140.0	617.0	1.8475068493150686	1.5534740288354008	21.357372247275865	2.9092605389938657	0.433076
141.0	552.0	1.8535596868884539	1.5606676497121426	21.328117298470996	2.7446483091019807	0.436169
142.0	623.0	1.8596144814090019	1.5678539534874	21.298998454033736	2.908315465910539	0.43926299999999996
143.0	590.0	1.8656673189823874	1.5750284267653485	21.27003191160716	2.822979543301994	0.44235599999999997
144.0	555.0	1.8717221135029354	1.5821958381236803	21.24119634631647	2.7309618509680123	0.44545
145.0	520.0	1.8777749510763209	1.5893516813121251	21.212507835412204	2.636708520021395	0.448543
146.0	530.0	1.8838277886497066	1.5964983987742811	21.18395450495348	2.655175415888633	0.45163600000000004
147.0	541.0	1.8898825831702544	1.6036384187747166	21.155524713856778	2.675789277950727	0.45473
148.0	502.0	1.8959354207436399	1.6107672456411457	21.127235021001223	2.571029066270091	0.457823
