ChannelNumber N(E) W P G(Z,W) Value Energy(MeV) Momentum(MeV/c) N(p)
123.000000 839.000000 1.744595 1.429549 21.879755 3.549483 0.380488 0.380488 839.000000
124.000000 787.000000 1.750650 1.436932 21.847579 3.428360 0.383582 0.383582 787.000000
125.000000 789.000000 1.756703 1.444300 21.815610 3.423392 0.386675 0.386675 789.000000
126.000000 766.000000 1.762755 1.451656 21.783833 3.363994 0.389768 0.389768 766.000000
127.000000 762.000000 1.768810 1.459003 21.752235 3.346142 0.392862 0.392862 762.000000
128.000000 742.000000 1.774863 1.466335 21.720833 3.293054 0.395955 0.395955 742.000000
129.000000 703.000000 1.780918 1.473658 21.689604 3.196745 0.399049 0.399049 703.000000
130.000000 743.000000 1.786971 1.480967 21.658566 3.277647 0.402142 0.402142 743.000000
131.000000 651.000000 1.793023 1.488265 21.627704 3.059844 0.405235 0.405235 651.000000
132.000000 688.000000 1.799078 1.495554 21.597005 3.137237 0.408329 0.408329 688.000000
133.000000 703.000000 1.805131 1.502830 21.566488 3.162854 0.411422 0.411422 703.000000
134.000000 666.000000 1.811186 1.510097 21.536128 3.070367 0.414516 0.414516 666.000000
135.000000 625.000000 1.817239 1.517352 21.505943 2.966530 0.417609 0.417609 625.000000
136.000000 685.000000 1.823292 1.524596 21.475920 3.097514 0.420702 0.420702 685.000000
137.000000 720.000000 1.829346 1.531832 21.446046 3.167355 0.423796 0.423796 720.000000
138.000000 624.000000 1.835399 1.539055 21.416339 2.940960 0.426889 0.426889 624.000000
139.000000 633.000000 1.841454 1.546271 21.386775 2.954393 0.429983 0.429983 633.000000
140.000000 617.000000 1.847507 1.553474 21.357372 2.909261 0.433076 0.433076 617.000000
141.000000 552.000000 1.853560 1.560668 21.328117 2.744648 0.436169 0.436169 552.000000
142.000000 623.000000 1.859614 1.567854 21.298998 2.908315 0.439263 0.439263 623.000000
143.000000 590.000000 1.865667 1.575028 21.270032 2.822980 0.442356 0.442356 590.000000
144.000000 555.000000 1.871722 1.582196 21.241196 2.730962 0.445450 0.445450 555.000000
145.000000 520.000000 1.877775 1.589352 21.212508 2.636709 0.448543 0.448543 520.000000
146.000000 530.000000 1.883828 1.596498 21.183955 2.655175 0.451636 0.451636 530.000000
147.000000 541.000000 1.889883 1.603638 21.155525 2.675789 0.454730 0.454730 541.000000
148.000000 502.000000 1.895935 1.610767 21.127235 2.571029 0.457823 0.457823 502.000000
149.000000 526.000000 1.901990 1.617890 21.099066 2.625143 0.460917 0.460917 526.000000
150.000000 502.000000 1.908043 1.625001 21.071035 2.558119 0.464010 0.464010 502.000000
151.000000 481.000000 1.914096 1.632104 21.043131 2.497777 0.467103 0.467103 481.000000
152.000000 499.000000 1.920151 1.639201 21.015344 2.537738 0.470197 0.470197 499.000000
153.000000 488.000000 1.926204 1.646287 20.987692 2.503372 0.473290 0.473290 488.000000
154.000000 448.000000 1.932258 1.653367 20.960155 2.392636 0.476384 0.476384 448.000000
155.000000 458.000000 1.938311 1.660437 20.932750 2.413215 0.479477 0.479477 458.000000
156.000000 452.000000 1.944364 1.667499 20.905467 2.391452 0.482570 0.482570 452.000000
157.000000 387.000000 1.950419 1.674555 20.878296 2.207395 0.485664 0.485664 387.000000
158.000000 429.000000 1.956472 1.681601 20.851254 2.318403 0.488757 0.488757 429.000000
159.000000 395.000000 1.962526 1.688641 20.824323 2.219206 0.491851 0.491851 395.000000
160.000000 455.000000 1.968579 1.695672 20.797518 2.376003 0.494944 0.494944 455.000000
161.000000 399.000000 1.974632 1.702695 20.770830 2.219593 0.498037 0.498037 399.000000
162.000000 370.000000 1.980687 1.709714 20.744250 2.132240 0.501131 0.501131 370.000000
